target,source,manual,service
/departments/208/services/1111/,/Agencies/workforce-development-board-california/Agency-Services/get-job-training-in-orange-county,0,1
/departments/208/services/1111/,/service/?item=get-job-training-in-orange-county,0,1
/departments/208/services/1111/,/service/?item=job-training-in-orange-county,1,1
/departments/208/services/1112/,/Agencies/workforce-development-board-california/Agency-Services/get-job-training-in-long-beach,0,1
/departments/208/services/1112/,/service/?item=get-job-training-in-long-beach,0,1
/departments/208/services/1112/,/service/?item=job-training-in-long-beach,1,1
/departments/208/services/1113/,/Agencies/workforce-development-board-california/Agency-Services/get-job-training-in-madera%2ffresno,0,1
/departments/208/services/1113/,/service/?item=get-job-training-in-madera%2ffresno,0,1
/departments/208/services/1113/,/service/?item=job-training-in-madera,1,1
/departments/208/services/1114/,/Agencies/workforce-development-board-california/Agency-Services/get-job-training-in-sacramento,0,1
/departments/208/services/1114/,/service/?item=get-job-training-in-sacramento,0,1
/departments/208/services/1114/,/service/?item=job-training-in-sacramento,1,1
/departments/209/,/Agencies/financial-protection-and-innovation-department-of,0,0
/departments/209/,/agency/?item=department-of-financial-protection-and-innovation,0,0
/departments/21/,/Agencies/behavioral-sciences-board-of,0,0
/departments/21/,/agency/?item=board-of-behavioral-sciences,0,0
/departments/210/,/Agencies/consumer-affairs-department-of,0,0
/departments/210/,/agency/?item=department-of-consumer-affairs,0,0
/departments/210/services/1133/,/Agencies/consumer-affairs-department-of/Agency-Services/find-a-consumer-affairs-license,0,1
/departments/210/services/1133/,/service/?item=find-a-consumer-affairs-license,0,1
/departments/210/services/1134/,/Agencies/consumer-affairs-department-of/Agency-Services/file-complaint-against-professional-or-business,0,1
/departments/210/services/1134/,/service/?item=file-complaint-against-professional-or-business,0,1
/departments/210/services/1135/,/Agencies/consumer-affairs-department-of/Agency-Services/renew-a-consumer-affairs-license,0,1
/departments/210/services/1135/,/service/?item=renew-a-consumer-affairs-license,0,1
/departments/211/,/Agencies/child-support-services-department-of,0,0
/departments/211/,/agency/?item=department-of-child-support-services,0,0
/departments/211/services/1203/,/Agencies/child-support-services-department-of/Agency-Services/access-self-service-website,0,1
/departments/211/services/1203/,/service/?item=access-self-service-website,0,1
/departments/211/services/1214/,/Agencies/child-support-services-department-of/Agency-Services/child-support-payments,0,1
/departments/211/services/1214/,/service/?item=child-support-payments,0,1
/departments/211/services/8/,/Agencies/child-support-services-department-of/Agency-Services/enroll-in-child-support,0,1
/departments/211/services/8/,/service/?item=apply-for-child-support,1,1
/departments/211/services/8/,/service/?item=enroll-in-child-support,0,1
/departments/211/services/9/,/Agencies/child-support-services-department-of/Agency-Services/calculate-child-support,0,1
/departments/211/services/9/,/service/?item=calculate-child-support,0,1
/departments/212/,/Agencies/developmental-services-department-of,0,0
/departments/212/,/agency/?item=department-of-developmental-services,0,0
